Description,Rule set,Rule,,,,,,Rule set,Rule
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaAwa' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaAwa' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaPlana' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaPlana' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaPlana' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'practiceReach' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'practiceReach' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'practiceReach' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherStuTopic' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherStuTopic' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherStuTopic' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherStuPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherStuPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherStuPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'otherTeaExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'otherTeaExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'otherTeaExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'inSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'inSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'inSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'outSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'outSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'outSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'asCommitMem' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'asCommitMem' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'asCommitMem' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scholarExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scholarExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scholarExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'teacherInfoDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'teacherInfoDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
This class has a bunch of public methods and attributes,Code Size,ExcessivePublicCount,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'courseListU11' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU11' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU11' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListU12' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU12' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU12' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListU21' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU21' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU21' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListU22' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU22' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU22' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListU31' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU31' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU31' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListU32' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU32' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU32' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListU41' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU41' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseU41' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListM1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlM1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseM1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'courseListE1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlE1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courseE1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'course' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sqlup' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'courseruleList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'courserule' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'imintroList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'imintro2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'dic_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'imintro2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'dic_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'assitantList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'assitant' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'smt2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'rs2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'work2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'work' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'imintroList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'imintro' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'assitantWorkList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'assitantWork' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'awardList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'award' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'getfileList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'imintro5' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'deptIntroList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'imintro' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'imintro5' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'award1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql3' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'assitant1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
